Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability
2023-09-30,13:45:00,RIPON,Spanish Rock,6f,3,2.1,2.47,0.7056331
2023-09-30,13:45:00,RIPON,Renewable Queen,6f,10,151.0,440.0,0.0008207607
2023-09-30,13:45:00,RIPON,Kandoo,6f,2,3.5,4.4,0.55270755
2023-09-30,13:45:00,RIPON,Standring,6f,7,6.0,6.38,0.5930099
2023-09-30,13:45:00,RIPON,Ingleby Ivy,6f,1,12.0,15.07,0.08195062
2023-09-30,13:45:00,RIPON,Profiteer,6f,8,21.0,33.16,0.028348552
2023-09-30,13:45:00,RIPON,Alfanatical,6f,4,26.0,40.0,0.010478485
2023-09-30,13:45:00,RIPON,Hearitfortheboys,6f,5,26.0,42.0,0.026811514
2023-09-30,13:45:00,RIPON,Clionia,6f,9,101.0,207.58,0.0016003615
2023-09-30,13:45:00,RIPON,Askim,6f,6,126.0,320.0,0.0019468414
2023-09-30,13:45:00,RIPON,Sometimes A Lady,6f,11,126.0,437.6,0.004355044
2023-09-30,14:20:00,RIPON,Miguel,1m,1,2.5,2.57,0.5696702
2023-09-30,14:20:00,RIPON,Mannerism,1m,5,5.5,6.4,0.5314477
2023-09-30,14:20:00,RIPON,Pick Your Battles,1m,2,6.0,7.44,0.24770135
2023-09-30,14:20:00,RIPON,Half Moon Rising,1m,3,8.5,9.94,0.17993522
2023-09-30,14:20:00,RIPON,Between Me And U,1m,6,8.5,10.06,0.050627805
2023-09-30,14:20:00,RIPON,Billiegee,1m,4,10.0,13.77,0.21915837
2023-09-30,14:20:00,RIPON,Passionately,1m,7,15.0,18.41,0.14408268
2023-09-30,14:55:00,RIPON,Mr Trevor,6f,4,4.33,5.0,0.60262704
2023-09-30,14:55:00,RIPON,Saleet,6f,9,26.0,27.8,0.040515862
2023-09-30,14:55:00,RIPON,Hurstwood,6f,5,4.5,5.1,0.591218
2023-09-30,14:55:00,RIPON,Hoof It Hoof It,6f,1,7.0,6.83,0.15371107
2023-09-30,14:55:00,RIPON,Captain Dandy,6f,6,8.5,10.3,0.50907207
2023-09-30,14:55:00,RIPON,Hurt You Never,6f,7,9.0,13.0,0.07374361
2023-09-30,14:55:00,RIPON,Flavius Titus,6f,2,9.0,11.94,0.21205615
2023-09-30,14:55:00,RIPON,One More Dream,6f,10,10.0,10.83,0.30424422
2023-09-30,14:55:00,RIPON,Bay Of Hope,6f,3,15.0,18.5,0.122502774
2023-09-30,14:55:00,RIPON,Frank The Spark,6f,8,23.0,44.0,0.05819631
2023-09-30,15:30:00,RIPON,Mr Wagyu,6f,5,5.5,5.29,0.04806134
2023-09-30,15:30:00,RIPON,Indian Creak,6f,9,17.0,27.76,0.073565
2023-09-30,15:30:00,RIPON,Quintus Arrius,6f,13,26.0,38.0,0.009330865
2023-09-30,15:30:00,RIPON,Glorious Angel,6f,4,29.0,49.57,0.009453804
2023-09-30,15:30:00,RIPON,The Turpinator,6f,3,6.5,8.15,0.1006586
2023-09-30,15:30:00,RIPON,Brazen Bolt,6f,8,8.0,9.4,0.36723667
2023-09-30,15:30:00,RIPON,Danzan,6f,6,9.0,10.43,0.015030475
2023-09-30,15:30:00,RIPON,Dakota Gold,6f,10,9.5,8.74,0.02947181
2023-09-30,15:30:00,RIPON,Origintrail,6f,11,9.5,10.5,0.040489845
2023-09-30,15:30:00,RIPON,Twelfth Knight,6f,12,15.0,22.76,0.07479193
2023-09-30,15:30:00,RIPON,Hyperfocus,6f,7,15.0,18.1,0.024773609
2023-09-30,15:30:00,RIPON,Dare To Hope,6f,1,15.0,21.0,0.09348626
2023-09-30,15:30:00,RIPON,Abate,6f,2,15.0,19.97,0.09450306
2023-09-30,16:05:00,RIPON,Strong Johnson,5f,1,4.5,5.24,0.6514508
2023-09-30,16:05:00,RIPON,Princess Karine,5f,4,4.5,4.41,0.6243181
2023-09-30,16:05:00,RIPON,Khabib,5f,5,5.0,6.2,0.8391824
2023-09-30,16:05:00,RIPON,Northcliff,5f,6,9.5,13.13,0.27396217
2023-09-30,16:05:00,RIPON,Canaria Queen,5f,7,11.0,12.29,0.04621943
2023-09-30,16:05:00,RIPON,Vadamiah,5f,2,11.0,11.2,0.04071931
2023-09-30,16:05:00,RIPON,Betweenthesticks,5f,3,11.0,15.0,0.11202316
2023-09-30,16:05:00,RIPON,American Star,5f,9,12.0,13.5,0.2148407
2023-09-30,16:05:00,RIPON,May Blossom,5f,8,15.0,23.0,0.053154167
2023-09-30,16:40:00,RIPON,Franberri,1m4f,3,2.38,2.4,0.6847896
2023-09-30,16:40:00,RIPON,Trust House,1m4f,1,3.0,3.1,0.5909975
2023-09-30,16:40:00,RIPON,Kardia,1m4f,2,4.33,5.31,0.714373
2023-09-30,16:40:00,RIPON,Delta Legend,1m4f,4,12.0,15.0,0.120708995
2023-09-30,16:40:00,RIPON,Total Master,1m4f,5,51.0,110.0,0.02681732
2023-09-30,17:15:00,RIPON,Pledgeofallegiance,2m,1,2.5,2.55,0.7454538
2023-09-30,17:15:00,RIPON,Haizoom,2m,4,3.25,3.49,0.7519716
2023-09-30,17:15:00,RIPON,Can Can Girl,2m,2,4.2,4.43,0.5795086
2023-09-30,17:15:00,RIPON,Spantik,2m,3,9.5,12.12,0.39886203
2023-09-30,17:15:00,RIPON,Mukha Magic,2m,5,19.0,32.79,0.019015647
2023-09-30,17:15:00,RIPON,Moon King,2m,6,34.0,65.0,0.004542367
2023-09-05,16:20:00,RIPON,Doom,1m,2,1.04,1.05,0.8816805
2023-09-05,16:20:00,RIPON,Karmology,1m,1,10.0,17.81,0.32451287
2023-09-05,16:55:00,RIPON,Rogue Enforcer,6f,2,1.73,1.73,0.9308033
2023-09-05,16:55:00,RIPON,Bills Baar,6f,1,3.75,4.5,0.5678621
2023-09-05,16:55:00,RIPON,Want Want,6f,3,5.0,6.38,0.6583713
2023-09-05,16:55:00,RIPON,Glory Hyde,6f,4,13.0,19.5,0.22873501
2023-09-05,16:55:00,RIPON,Turkish Tiger,6f,6,67.0,133.18,0.026377428
2023-09-05,16:55:00,RIPON,Gottomakeashilling,6f,5,201.0,428.57,0.0035872245
2023-09-05,17:30:00,RIPON,Chester Le Streak,6f,3,4.5,7.0,0.6445054
2023-09-05,17:30:00,RIPON,Canaria Prince,6f,6,23.0,30.56,0.040752545
2023-09-05,17:30:00,RIPON,Pink Sky At Night,6f,9,41.0,66.18,0.0056708516
2023-09-05,17:30:00,RIPON,Point Of Woods,6f,12,41.0,52.16,0.013819388
2023-09-05,17:30:00,RIPON,Marwari,6f,14,51.0,90.0,0.037964027
2023-09-05,17:30:00,RIPON,Fighting Chance,6f,7,126.0,190.0,0.0014272226
2023-09-05,17:30:00,RIPON,Wades Magic,6f,2,5.5,6.71,0.37901697
2023-09-05,17:30:00,RIPON,Dream Together,6f,8,6.0,6.31,0.15161406
2023-09-05,17:30:00,RIPON,Flavius Titus,6f,4,7.5,10.26,0.19040051
2023-09-05,17:30:00,RIPON,Glory Hallelujah,6f,13,8.0,7.63,0.16666378
2023-09-05,17:30:00,RIPON,Rich Waters,6f,5,11.0,13.61,0.19094044
2023-09-05,17:30:00,RIPON,Eldeyaar,6f,1,13.0,17.58,0.3274777
2023-09-05,17:30:00,RIPON,One For The Ladies,6f,11,13.0,16.5,0.081786476
2023-09-05,17:30:00,RIPON,Golden Prosperity,6f,10,15.0,14.85,0.65959674
2023-09-05,18:00:00,RIPON,Strong Johnson,6f,2,3.25,3.41,0.8219396
2023-09-05,18:00:00,RIPON,Motawaazy,6f,7,26.0,32.75,0.1201865
2023-09-05,18:00:00,RIPON,Object,6f,10,51.0,91.84,0.0046479395
2023-09-05,18:00:00,RIPON,Fortamour,6f,1,5.5,6.56,0.7514916
2023-09-05,18:00:00,RIPON,Oso Rapido,6f,5,8.5,11.28,0.35311452
2023-09-05,18:00:00,RIPON,Golden Duke,6f,6,9.0,10.23,0.2603217
2023-09-05,18:00:00,RIPON,Asadjumeirah,6f,4,10.0,13.45,0.06430932
2023-09-05,18:00:00,RIPON,Havana Pursuit,6f,8,11.0,14.65,0.07003568
2023-09-05,18:00:00,RIPON,Starproof,6f,11,12.0,17.74,0.021132259
2023-09-05,18:00:00,RIPON,Hurstwood,6f,3,12.0,15.2,0.23544966
2023-09-05,18:00:00,RIPON,Lily In The Jungle,6f,9,17.0,17.14,0.18683515
2023-09-05,18:30:00,RIPON,Eastern Charm,1m,1,4.0,6.22,0.102795415
2023-09-05,18:30:00,RIPON,Golden Melody,1m,4,4.0,4.23,0.30763176
2023-09-05,18:30:00,RIPON,Urban Decay,1m,7,4.5,5.0,0.4149157
2023-09-05,18:30:00,RIPON,Casilli,1m,5,5.5,6.4,0.4028413
2023-09-05,18:30:00,RIPON,Dungar Glory,1m,3,8.0,9.24,0.11381722
2023-09-05,18:30:00,RIPON,Gone,1m,2,12.0,9.6,0.1982782
2023-09-05,18:30:00,RIPON,Just Janet,1m,6,19.0,21.6,0.06458534
2023-09-05,19:00:00,RIPON,Edwina Sheeran,1m4f,1,2.63,2.93,0.418841
2023-09-05,19:00:00,RIPON,Blue Antares,1m4f,2,3.0,3.1,0.57525086
2023-09-05,19:00:00,RIPON,Lincoln Rockstar,1m4f,3,5.0,5.13,0.53216964
2023-09-05,19:00:00,RIPON,Optician,1m4f,4,7.5,8.34,0.4659708
2023-09-05,19:00:00,RIPON,Night Life,1m4f,5,23.0,32.0,0.072354235
2023-09-05,19:00:00,RIPON,Queenmambo,1m4f,6,51.0,110.16,0.08818474
2023-09-05,19:00:00,RIPON,Vale Dolobo Dancer,1m4f,7,81.0,179.56,0.032264017
2023-09-05,19:30:00,RIPON,Pacos Pride,1m,3,2.25,2.52,0.61295843
2023-09-05,19:30:00,RIPON,All Dunn,1m,1,4.0,4.55,0.6221399
2023-09-05,19:30:00,RIPON,Fortuitous Star,1m,5,6.5,6.76,0.30056074
2023-09-05,19:30:00,RIPON,Secret Joy,1m,7,8.5,10.91,0.25566563
2023-09-05,19:30:00,RIPON,Lukla,1m,4,10.0,11.37,0.2270509
2023-09-05,19:30:00,RIPON,Ribkana,1m,2,17.0,20.16,0.45490164
2023-09-05,19:30:00,RIPON,Missmimi,1m,6,151.0,234.12,0.001655952
2023-08-29,14:15:00,RIPON,Tarbaan,1m2f,3,4.33,4.7,0.80266774
2023-08-29,14:15:00,RIPON,Cedar Rapids,1m2f,8,67.0,83.06,0.021010133
2023-08-29,14:15:00,RIPON,Tele Red,1m2f,2,5.5,8.17,0.1312108
2023-08-29,14:15:00,RIPON,Bringbackmemories,1m2f,7,6.5,6.81,0.28911203
2023-08-29,14:15:00,RIPON,Unplugged,1m2f,4,7.5,10.0,0.07271504
2023-08-29,14:15:00,RIPON,Dungar Glory,1m2f,5,7.5,7.8,0.21714346
2023-08-29,14:15:00,RIPON,King Triton,1m2f,6,9.5,9.56,0.42934412
2023-08-29,14:15:00,RIPON,Magical Mile,1m2f,10,9.5,12.0,0.28893217
2023-08-29,14:15:00,RIPON,Bollin Margaret,1m2f,1,12.0,13.36,0.12811548
2023-08-29,14:15:00,RIPON,Master Of Combat,1m2f,9,26.0,35.21,0.09623526
2023-08-29,14:50:00,RIPON,South Shore,5f,2,2.63,2.95,0.63480234
2023-08-29,14:50:00,RIPON,Due For Luck,5f,1,3.0,3.0,0.8609611
2023-08-29,14:50:00,RIPON,Saint Matthew,5f,5,5.5,6.09,0.40070146
2023-08-29,14:50:00,RIPON,Instant Recall,5f,6,7.0,7.84,0.3024536
2023-08-29,14:50:00,RIPON,Fifty Grand Slater,5f,3,41.0,41.15,0.01839336
2023-08-29,14:50:00,RIPON,Bills Baar,5f,4,51.0,52.05,0.008083947
2023-08-29,15:25:00,RIPON,Be Here Now,5f,2,4.0,3.96,0.45004633
2023-08-29,15:25:00,RIPON,Scoops Ahoy,5f,3,4.5,5.0,0.575559
2023-08-29,15:25:00,RIPON,Tees Douge,5f,7,5.0,6.27,0.15461642
2023-08-29,15:25:00,RIPON,Chumbaa,5f,1,6.0,6.4,0.14290355
2023-08-29,15:25:00,RIPON,Reflexion Faite,5f,5,7.5,8.2,0.33417314
2023-08-29,15:25:00,RIPON,Vitarli,5f,4,11.0,12.46,0.13621542
2023-08-29,15:25:00,RIPON,Lottings Lass,5f,6,21.0,22.78,0.0697519
2023-08-29,16:00:00,RIPON,Impeller,6f,3,4.5,5.46,0.6720068
2023-08-29,16:00:00,RIPON,Toussarok,6f,10,21.0,27.0,0.19155411
2023-08-29,16:00:00,RIPON,Origintrail,6f,2,5.0,6.8,0.39303842
2023-08-29,16:00:00,RIPON,Twelfth Knight,6f,1,6.0,6.75,0.18506582
2023-08-29,16:00:00,RIPON,Showtime Mahomes,6f,6,7.5,8.47,0.2654699
2023-08-29,16:00:00,RIPON,Marks Choice,6f,8,8.5,8.41,0.26701552
2023-08-29,16:00:00,RIPON,Abate,6f,5,10.0,11.27,0.21927598
2023-08-29,16:00:00,RIPON,Shallow Hal,6f,9,15.0,18.0,0.05649926
2023-08-29,16:00:00,RIPON,Russco,6f,7,19.0,20.49,0.03426578
2023-08-29,16:00:00,RIPON,Catch Cunningham,6f,4,19.0,23.0,0.0268279
2023-08-29,16:30:00,RIPON,Cosmos Raj,1m,4,3.75,4.04,0.6753185
2023-08-29,16:30:00,RIPON,Satin Snake,1m,2,21.0,34.0,0.075987
2023-08-29,16:30:00,RIPON,Kovu,1m,12,81.0,175.37,0.012843843
2023-08-29,16:30:00,RIPON,Tobetso,1m,1,6.0,7.59,0.28068393
2023-08-29,16:30:00,RIPON,Pol Roger,1m,11,6.5,7.43,0.3911979
