Date of Race,Time,Track,Horse,Distance,Place,Industry SP,Betfair SP,Predicted_Win_Probability,Race_ID,Predicted_Rank,Top_3_Flag,Odds_To_Use,Expected_Value,Field_Size,Kelly_Fraction,Reject_Reason,Winrate_Threshold,Bet_Placed,Stake,Actual_Result,Bet_Return,Bankroll_After_Race
2023-04-18,15:35:00,NEWMARKET,Ottoman Fleet,1m1f,1.0,2.5,2.5,0.19977425443861335,2023-04-18_15:35:00,4.0,False,2.5,-0.5005643639034666,7,-0.3337095759356444,kelly_low|ev_low|,0,False,100.0,1,0.0,9900.0
2023-04-18,16:45:00,NEWMARKET,Yorkshire Terrier,5f,5.0,3.75,4.3,0.14864511269433556,2023-04-18_16:45:00,4.0,False,3.75,-0.44258082739624166,7,-0.16093848268954242,kelly_low|ev_low|,0,False,100.0,0,0.0,9700.0
2023-04-18,16:45:00,NEWMARKET,Flag Of St George,5f,4.0,13.0,16.5,0.15029543963886394,2023-04-18_16:45:00,3.0,True,13.0,0.9538407153052312,7,0.07948672627543593,odds_high|,0,False,100.0,0,0.0,9700.0
2023-04-20,15:35:00,NEWMARKET,Mysterious Night,1m,7.0,2.88,2.95,0.1813203374215722,2023-04-20_15:35:00,4.0,False,2.88,-0.4777974282258721,7,-0.25414756820525114,kelly_low|ev_low|,0,False,100.0,0,0.0,11301.485833309755
2023-05-05,13:15:00,NEWMARKET,Salt Bay,1m2f,7.0,6.0,6.4,0.1600394781960905,2023-05-05_13:15:00,3.0,True,6.0,-0.03976313082345695,7,-0.00795262616469139,kelly_low|ev_low|,0,False,100.0,0,0.0,11301.485833309755
2023-05-05,13:15:00,NEWMARKET,Castle Way,1m2f,1.0,8.0,6.91,0.1515798107750459,2023-05-05_13:15:00,4.0,False,8.0,0.21263848620036718,7,0.030376926600052454,kelly_low|,0,False,100.0,1,0.0,11301.485833309755
2023-05-05,13:50:00,NEWMARKET,Native Trail,1m,2.0,1.73,1.78,0.25531986056349393,2023-05-05_13:50:00,3.0,True,1.73,-0.5582966412251555,5,-0.7647899194865144,kelly_low|ev_low|,0,False,100.0,0,0.0,11301.485833309755
2023-05-05,13:50:00,NEWMARKET,Checkandchallenge,1m,4.0,12.0,13.45,0.1560425702089822,2023-05-05_13:50:00,4.0,False,12.0,0.8725108425077865,5,0.07931916750070787,odds_high|,0,False,100.0,0,0.0,11301.485833309755
2023-05-05,15:35:00,NEWMARKET,Outbox,1m4f,4.0,29.0,42.0,0.01833229369869278,2023-05-05_15:35:00,4.0,False,29.0,-0.4683634827379093,5,-0.016727267240639616,kelly_low|ev_low|odds_high|,0,False,100.0,0,0.0,11199.788604613614
2023-05-07,13:15:00,NEWMARKET,Migration,1m2f,5.0,9.0,13.06,0.04764089476773805,2023-05-07_13:15:00,4.0,False,9.0,-0.5712319470903575,5,-0.07140399338629469,kelly_low|ev_low|,0,False,100.0,0,0.0,11199.788604613614
